ApplicationType,BusinessType,City,StateCode,ZipCode,Created,Submitted,InReview,Billed,Paid,UnderInspection,Ready,Issued,Printed,DaysInCreatedStatus,DaysInReview,DaysInBilled,DaysInPaid,DaysInUnderInspection,DaysInReady,DaysInIssued,TotalDaysCreationToPrint_Original,PostalCode,TotalDaysCreationToIssuance_Recalc,TotalDaysCreationToIssuance_Ints,Human_Baseline,PostalCodeStratify,Created_DayOfYear,Created_Month,Created_DayOfMonth,Created_DayOfWeek,Created_Year
Certificate Of Use,Office,Miami,FL,33130,2021-04-28,2021-04-28,2021-04-29,2021-04-29,2021-04-30,2021-05-05,2021-05-18,2021-05-19,2021-05-19,1,0,1,5,13,1,0,21,33130,21 days 00:00:00.000000000,21,62,33130,118,4,28,2,2021
Certificate Of Use,Food Service Establishment,Miami,FL,33130,2021-04-15,2021-04-15,2021-04-21,2021-04-21,2021-04-22,2021-04-23,2021-05-05,2021-05-10,2021-05-10,6,0,1,1,12,5,0,25,33130,25 days 00:00:00.000000000,25,105,33130,105,4,15,3,2021
Certificate Of Use,Office,Miami,FL,33133,2021-04-16,2021-04-16,2021-05-03,2021-05-03,2021-05-04,2021-05-18,2021-06-03,2021-06-18,2021-06-18,17,0,1,14,16,15,0,63,33133,63 days 00:00:00.000000000,63,62,33133,106,4,16,4,2021
Certificate Of Use,Office,Miami,FL,33131,2021-04-21,2021-04-21,2021-04-22,2021-04-22,2021-04-23,2021-04-29,2021-05-06,2021-05-21,2021-05-21,1,0,1,6,7,15,0,30,33131,30 days 00:00:00.000000000,30,62,33131,111,4,21,2,2021
Certificate Of Use,Food Service Establishment,Miami,FL,33127,2021-04-21,2021-04-21,2021-05-25,2021-05-25,2021-05-26,2021-06-03,2021-06-04,2021-06-16,2021-06-16,34,0,1,8,1,12,0,56,33127,56 days 00:00:00.000000000,56,105,33127,111,4,21,2,2021
Certificate Of Use,General Commercial,Miami,FL,33131,2021-04-21,2021-04-21,2021-04-22,2021-04-22,2021-04-23,2021-04-27,2021-04-30,2021-06-11,2021-06-11,1,0,1,4,3,42,0,51,33131,51 days 00:00:00.000000000,51,62,33131,111,4,21,2,2021
Certificate Of Use,Community Residence,Miami,FL,33137,2021-04-21,2021-04-21,2021-05-05,2021-05-05,2021-05-10,2021-05-20,2021-05-21,2021-06-02,2021-06-03,14,0,5,10,1,12,1,43,33137,42 days 00:00:00.000000000,42,156,33137,111,4,21,2,2021
Certificate Of Use,General Commercial,Miami,FL,33144,2021-04-24,2021-04-24,2021-05-10,2021-05-10,2021-05-11,2021-06-28,2021-06-28,2021-06-28,2021-06-29,16,0,1,48,0,0,1,66,33144,65 days 00:00:00.000000000,65,62,33144,114,4,24,5,2021
Accessory Of Use,Home Office,Miami,FL,33131,2021-04-28,2021-04-28,2021-04-28,2021-04-28,2021-05-10,2021-05-11,2021-05-11,2021-05-11,2021-05-13,0,0,12,1,0,0,2,15,33131,13 days 00:00:00.000000000,13,28,33131,118,4,28,2,2021
Certificate Of Use,Food Service Establishment,Miami,FL,33137,2021-04-28,2021-04-28,2021-05-12,2021-05-12,2021-05-14,2021-05-14,2021-05-17,2021-06-16,2021-06-16,14,0,2,0,3,30,0,49,33137,49 days 00:00:00.000000000,49,105,33137,118,4,28,2,2021
Certificate Of Use,Office,Miami,FL,33130,2021-04-28,2021-04-28,2021-05-05,2021-05-05,2021-05-06,2021-05-13,2021-05-13,2021-05-14,2021-05-14,7,0,1,7,0,1,0,16,33130,16 days 00:00:00.000000000,16,62,33130,118,4,28,2,2021
Certificate Of Use,Entertainment Establishment,Miami,FL,33127,2021-04-30,2021-04-30,2021-05-11,2021-05-11,2021-05-13,2021-05-26,2021-06-25,2021-06-25,2021-06-26,11,0,2,13,30,0,1,57,33127,56 days 00:00:00.000000000,56,62,33127,120,4,30,4,2021
Certificate Of Use,Office,Miami,FL,33131,2021-04-27,2021-04-27,2021-05-03,2021-05-03,2021-05-04,2021-05-06,2021-05-10,2021-05-21,2021-05-21,6,0,1,2,4,11,0,24,33131,24 days 00:00:00.000000000,24,62,33131,117,4,27,1,2021
Certificate Of Use,Office,Miami,FL,33131,2021-04-27,2021-04-27,2021-04-28,2021-04-28,2021-04-30,2021-05-03,2021-05-03,2021-05-10,2021-05-10,1,0,2,3,0,7,0,13,33131,13 days 00:00:00.000000000,13,62,33131,117,4,27,1,2021
Certificate Of Use,Office,Miami,FL,33131,2021-04-30,2021-04-30,2021-05-03,2021-05-03,2021-05-06,2021-05-07,2021-05-10,2021-05-28,2021-05-28,3,0,3,1,3,18,0,28,33131,28 days 00:00:00.000000000,28,62,33131,120,4,30,4,2021
Certificate Of Use,General Commercial,Miami,FL,33130,2021-05-04,2021-05-04,2021-06-03,2021-06-03,2021-06-07,2021-06-09,2021-06-29,2021-07-01,2021-07-01,30,0,4,2,20,2,0,58,33130,58 days 00:00:00.000000000,58,62,33130,124,5,4,1,2021
Certificate Of Use,General Commercial,Miami,FL,33130,2021-05-04,2021-05-04,2021-06-03,2021-06-03,2021-06-07,2021-06-09,2021-06-29,2021-07-01,2021-07-02,30,0,4,2,20,2,1,59,33130,58 days 00:00:00.000000000,58,62,33130,124,5,4,1,2021
Certificate Of Use,Office,Miami,FL,33125,2021-05-05,2021-05-05,2021-05-11,2021-05-11,2021-05-12,2021-05-18,2021-05-19,2021-07-02,2021-07-02,6,0,1,6,1,44,0,58,33125,58 days 00:00:00.000000000,58,62,33125,125,5,5,2,2021
Accessory Of Use,Recreational Establishment,Miami,FL,33133,2021-05-05,2021-05-05,2021-05-06,2021-05-06,2021-05-11,2021-05-14,2021-05-14,2021-05-14,2021-05-14,1,0,5,3,0,0,0,9,33133,9 days 00:00:00.000000000,9,40,33133,125,5,5,2,2021
Certificate Of Use,Office,Miami,FL,33125,2021-05-05,2021-05-05,2021-05-06,2021-05-06,2021-05-13,2021-05-17,2021-05-18,2021-05-26,2021-05-26,1,0,7,4,1,8,0,21,33125,21 days 00:00:00.000000000,21,62,33125,125,5,5,2,2021
Certificate Of Use,Unknown,MIAMI,FL,331250000,2018-09-05,,2018-09-05,2018-09-05,2018-09-07,2018-11-01,2018-11-01,2019-11-22,2019-12-06,0,0,2,55,0,386,14,457,33125,443 days 00:00:00.000000000,443,413,33125,248,9,5,2,2018
Certificate Of Use,Unknown,MIAMI,FL,331300000,2013-08-20,,,,2017-05-10,,,2017-05-23,2017-05-31,,,,,,,8,1380,33130,1372 days 00:00:00.000000000,1372,413,33130,232,8,20,1,2013
Certificate Of Use,Unknown,MIAMI,FL,331384207,2013-08-20,,,,2019-03-13,,,2019-03-13,2019-03-18,,,,,,,5,2036,33138,2031 days 00:00:00.000000000,2031,413,33138,232,8,20,1,2013
Certificate Of Use,Unknown,MIAMI,FL,331303518,2013-08-20,,,,2013-12-18,,,2021-01-19,2021-01-22,,,,,,,3,2712,33130,2709 days 00:00:00.000000000,2709,413,33130,232,8,20,1,2013
Certificate Of Use,Unknown,MIAMI,FL,331427500,2013-08-20,,,,2018-10-26,,,2018-11-09,2018-11-19,,,,,,,10,1917,33142,1907 days 00:00:00.000000000,1907,413,33142,232,8,20,1,2013
Certificate Of Use,Hotel,Miami,FL,33137,2018-03-29,2018-03-29,2018-04-03,2018-04-03,2018-04-04,2018-04-12,2018-04-25,2018-12-19,2018-12-26,5,0,1,8,13,238,7,272,33137,265 days 00:00:00.000000000,265,156,33137,88,3,29,3,2018
Certificate Of Use,Office,Miami,FL,33127,2018-03-30,,2018-03-30,2018-03-30,2018-07-02,2018-07-03,2018-07-10,2018-07-10,2018-07-13,0,0,94,1,7,0,3,105,33127,102 days 00:00:00.000000000,102,62,33127,89,3,30,4,2018
Accessory Of Use,Home Office,Miami,FL,33130,2018-03-29,2018-03-29,2018-03-30,2018-03-30,2018-03-31,2018-04-04,2018-04-04,2018-04-05,2018-04-13,1,0,1,4,0,1,8,15,33130,7 days 00:00:00.000000000,7,28,33130,88,3,29,3,2018
Certificate Of Use,Office,Miami,FL,33133,2018-03-30,2018-03-30,2018-03-30,2018-03-30,2018-04-04,2018-04-09,2018-04-09,2018-04-09,2018-04-13,0,0,5,5,0,0,4,14,33133,10 days 00:00:00.000000000,10,62,33133,89,3,30,4,2018
Certificate Of Use,General Commercial,Miami,FL,33150,2018-03-30,2018-03-30,2018-03-30,2018-03-30,2018-04-02,2018-07-09,2018-07-09,2018-07-09,2018-07-13,0,0,3,98,0,0,4,105,33150,101 days 00:00:00.000000000,101,62,33150,89,3,30,4,2018
Certificate Of Use,Office,Miami,FL,33136,2018-03-30,,2018-03-30,2018-03-30,2018-03-31,2018-04-25,2018-05-01,2018-06-15,2018-06-22,0,0,1,25,6,45,7,84,33136,77 days 00:00:00.000000000,77,62,33136,89,3,30,4,2018
Certificate Of Use,Office,Miami,FL,33136,2018-03-30,2018-03-30,2018-03-30,2018-03-30,2018-04-02,2018-04-25,2018-05-29,2018-06-20,2018-06-22,0,0,3,23,34,22,2,84,33136,82 days 00:00:00.000000000,82,62,33136,89,3,30,4,2018
Certificate Of Use,Office,Miami,FL,33134,2018-03-30,2018-03-30,2018-03-30,2018-03-30,2018-04-02,2018-04-04,2018-04-11,2018-07-30,2018-08-07,0,0,3,2,7,110,8,130,33134,122 days 00:00:00.000000000,122,62,33134,89,3,30,4,2018
Certificate Of Use,General Commercial,Miami,FL,33132,2018-03-30,,2018-03-30,2018-03-30,2018-03-31,2018-04-03,2018-04-20,2018-04-23,2018-04-25,0,0,1,3,17,3,2,26,33132,24 days 00:00:00.000000000,24,62,33132,89,3,30,4,2018
Certificate Of Use,Auto-Related Commercial Establishment,Miami,FL,33138,2018-04-01,2018-04-01,2018-04-02,2018-04-02,2018-04-03,2018-04-10,2018-04-17,2018-04-20,2018-04-25,1,0,1,7,7,3,5,24,33138,19 days 00:00:00.000000000,19,62,33138,91,4,1,6,2018
Certificate Of Use,Office,Miami,FL,33133,2018-04-02,,2018-04-02,2018-04-02,2018-04-03,2018-04-03,2018-04-04,2018-04-06,2018-04-13,0,0,1,0,1,2,7,11,33133,4 days 00:00:00.000000000,4,62,33133,92,4,2,0,2018
Certificate Of Use,Office,Miami,FL,33133,2018-04-02,,2018-04-02,2018-04-02,2018-04-03,2018-04-05,2018-04-09,2018-05-16,2018-05-25,0,0,1,2,4,37,9,53,33133,44 days 00:00:00.000000000,44,62,33133,92,4,2,0,2018
Certificate Of Use,Hotel,Miami,FL,33131,2018-04-02,,2018-04-02,2018-04-02,2018-04-04,2018-05-15,2018-09-05,2018-09-05,2018-09-07,0,0,2,41,113,0,2,158,33131,156 days 00:00:00.000000000,156,156,33131,92,4,2,0,2018
Certificate Of Use,Manufacturing And Processing,Miami,FL,33127,2018-04-03,,2018-04-03,2018-04-03,2018-04-04,2018-04-16,2018-05-07,2018-05-15,2018-05-25,0,0,1,12,21,8,10,52,33127,42 days 00:00:00.000000000,42,62,33127,93,4,3,1,2018
Accessory Of Use,Home Office,Miami,FL,33145,2018-04-02,2018-04-02,2018-04-12,2018-04-12,2018-04-13,2018-04-17,2018-04-17,2018-04-18,2018-04-25,10,0,1,4,0,1,7,23,33145,16 days 00:00:00.000000000,16,28,33145,92,4,2,0,2018
Certificate Of Use,General Commercial,Miami,FL,33127,2018-04-02,,2018-04-02,2018-04-02,2018-04-03,2018-04-04,2018-05-07,2018-05-07,2018-05-14,0,0,1,1,33,0,7,42,33127,35 days 00:00:00.000000000,35,62,33127,92,4,2,0,2018
Certificate Of Use,Unknown,Miami,FL,33134,2018-04-02,2018-04-02,2018-04-03,2018-04-03,2018-04-17,2018-05-22,2018-05-22,2018-05-24,2018-05-25,1,0,14,35,0,2,1,53,33134,52 days 00:00:00.000000000,52,413,33134,92,4,2,0,2018
Certificate Of Use,Unknown,Miami,FL,33133,2018-04-03,,2018-04-03,2018-04-03,2018-04-04,2018-04-05,2018-04-05,2018-04-05,2018-04-13,0,0,1,1,0,0,8,10,33133,2 days 00:00:00.000000000,2,413,33133,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33133,2018-04-02,2018-04-02,2018-04-02,2018-04-02,2018-10-01,2018-04-03,2018-04-03,2018-04-12,2018-04-13,0,0,182,-181,0,9,1,11,33133,10 days 00:00:00.000000000,10,62,33133,92,4,2,0,2018
Certificate Of Use,General Commercial,Miami,FL,33131,2018-04-02,2018-04-02,2018-04-04,2018-04-04,2018-04-05,2018-04-13,2018-04-25,2018-04-26,2018-05-14,2,0,1,8,12,1,18,42,33131,24 days 00:00:00.000000000,24,62,33131,92,4,2,0,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33125,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-04-04,2018-04-04,2018-05-15,2018-05-15,2018-05-25,0,0,1,0,41,0,10,52,33125,42 days 00:00:00.000000000,42,105,33125,93,4,3,1,2018
Certificate Of Use,General Commercial,Miami,FL,33133,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-10-10,2018-04-04,2018-05-10,2018-05-21,2018-05-25,0,0,190,-189,36,11,4,52,33133,48 days 00:00:00.000000000,48,62,33133,93,4,3,1,2018
Certificate Of Use,General Commercial,Miami,FL,33150,2018-04-03,,2018-04-03,2018-04-03,2018-04-04,2018-04-05,2018-04-10,2018-04-11,2018-04-13,0,0,1,1,5,1,2,10,33150,8 days 00:00:00.000000000,8,62,33150,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33131,2018-04-03,,2018-04-03,2018-04-03,2018-04-04,2018-04-05,2018-04-09,2018-04-09,2018-04-13,0,0,1,1,4,0,4,10,33131,6 days 00:00:00.000000000,6,62,33131,93,4,3,1,2018
Certificate Of Use,General Commercial,Miami,FL,33144,2018-04-03,2018-04-03,2018-04-05,2018-04-05,2018-04-06,2018-05-09,2018-05-09,2018-05-09,2018-05-14,2,0,1,33,0,0,5,41,33144,36 days 00:00:00.000000000,36,62,33144,93,4,3,1,2018
Certificate Of Use,General Commercial,Miami,FL,33133,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-04-04,2018-04-05,2018-04-18,2018-04-25,2018-04-25,0,0,1,1,13,7,0,22,33133,22 days 00:00:00.000000000,22,62,33133,93,4,3,1,2018
Certificate Of Use,General Commercial,Miami,FL,33127,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-04-04,2018-04-05,2018-05-08,2018-06-06,2018-06-08,0,0,1,1,33,29,2,66,33127,64 days 00:00:00.000000000,64,62,33127,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33133,2018-04-03,,2018-04-03,2018-04-03,2018-04-04,2018-04-04,2018-05-10,2018-05-10,2018-05-14,0,0,1,0,36,0,4,41,33133,37 days 00:00:00.000000000,37,62,33133,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33125,2018-04-05,,2018-04-05,2018-04-05,2018-04-16,2018-04-16,2018-04-16,2018-04-17,2018-04-25,0,0,11,0,0,1,8,20,33125,12 days 00:00:00.000000000,12,62,33125,95,4,5,3,2018
Certificate Of Use,Office,Miami,FL,33136,2018-04-03,,2018-04-03,2018-04-03,2018-04-04,2018-04-13,2018-04-25,2018-05-21,2018-05-25,0,0,1,9,12,26,4,52,33136,48 days 00:00:00.000000000,48,62,33136,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33133,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-04-04,2018-04-19,2018-05-01,2018-07-13,2018-07-13,0,0,1,15,12,73,0,101,33133,101 days 00:00:00.000000000,101,62,33133,93,4,3,1,2018
Certificate Of Use,Hotel,Miami,FL,33135,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-04-04,2018-04-18,2018-04-30,2018-04-30,2018-05-14,0,0,1,14,12,0,14,41,33135,27 days 00:00:00.000000000,27,156,33135,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33130,2018-04-04,,2018-04-04,2018-04-04,2018-04-05,2018-07-12,2018-07-12,2018-07-19,2018-07-27,0,0,1,98,0,7,8,114,33130,106 days 00:00:00.000000000,106,62,33130,94,4,4,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-04-05,2018-04-05,2018-04-06,2018-04-09,2018-04-13,0,0,2,0,1,3,4,10,33131,6 days 00:00:00.000000000,6,62,33131,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33133,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-04-10,2018-04-16,2018-04-19,2018-05-01,2018-05-14,0,0,7,6,3,12,13,41,33133,28 days 00:00:00.000000000,28,62,33133,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33133,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-10-01,2018-04-03,2018-04-05,2018-04-19,2018-04-25,0,0,181,-181,2,14,6,22,33133,16 days 00:00:00.000000000,16,62,33133,93,4,3,1,2018
Certificate Of Use,Office,Miami,FL,33125,2018-04-03,2018-04-03,2018-04-03,2018-04-03,2018-04-06,2018-04-06,2018-04-19,2018-04-23,2018-04-25,0,0,3,0,13,4,2,22,33125,20 days 00:00:00.000000000,20,62,33125,93,4,3,1,2018
Certificate Of Use,General Commercial,Miami,FL,33133,2018-04-04,,2018-04-04,2018-04-04,2018-04-05,2018-04-09,2018-05-21,2018-05-21,2018-05-25,0,0,1,4,42,0,4,51,33133,47 days 00:00:00.000000000,47,62,33133,94,4,4,2,2018
